created_at,entry_id,field6,field7,field4,field5,field3,field1,field2,latitude,longitude,elevation,status
2019-09-17 19:00:09 IST,2,75.2,30,81.42769,0.03204,5.43756,24.7,33.1,,,,
2019-09-17 19:00:27 IST,3,74.9,29.9,50.2902,0.03723,4.26582,24,33,,,,
2019-09-17 19:00:43 IST,4,75.4,29.8,38.06495,0.04073,3.36225,24.4,37.9,,,,
2019-09-17 19:00:59 IST,5,76.1,29.7,41.15185,0.04073,4.03039,24.8,38.1,,,,
2019-09-17 19:01:17 IST,6,77.1,29.5,38.46668,0.0425,3.88879,25.7,36.4,,,,
2019-09-17 19:01:32 IST,7,77.7,29.4,32.02211,0.04605,3.09798,25.2,40.1,,,,
2019-09-17 19:04:40 IST,8,84.7,28.8,58.13708,0.03986,3.46266,24.5,30.9,,,,
2019-09-17 19:04:56 IST,9,82.2,28.9,40.94065,0.0425,3.21599,26.3,40.2,,,,
2019-09-17 19:05:15 IST,10,82.1,28.8,33.28448,0.04605,2.91626,26,39.4,,,,
2019-09-17 19:07:00 IST,11,82.2,28.9,32.73955,0.04605,2.93851,25.7,38,,,,
2019-09-17 19:07:18 IST,12,82.9,28.8,47.87297,0.03986,3.02883,25.4,36.3,,,,
2019-09-17 19:26:25 IST,13,77,28.1,26.00842,0.08039,2.10861,14.2,23.7,,,,
2019-09-17 19:26:42 IST,14,58.1,28.4,28.25561,0.07943,2.36259,13.9,20.2,,,,
2019-09-17 19:26:59 IST,15,56.1,28.3,28.25561,0.08136,2.36259,14.1,18.9,,,,
2019-09-17 19:27:16 IST,16,55.7,28,28.25561,0.08233,2.34374,14,17.2,,,,
2019-09-17 19:27:32 IST,17,55.7,27.8,28.25561,0.0833,2.325,14.2,19,,,,
2019-09-17 19:27:49 IST,18,55.6,27.6,28.09135,0.08428,2.30637,14.2,18.6,,,,
2019-09-17 19:28:06 IST,19,55.8,27.5,25.54126,0.08721,2.0061,13.7,17.5,,,,
2019-09-17 19:28:22 IST,20,56.4,27.3,27.92768,0.08623,2.28785,13.8,16.8,,,,
2019-09-17 19:28:39 IST,21,56.4,27.2,25.69643,0.0882,2.03986,13.9,18.2,,,,
2019-09-17 19:28:55 IST,22,56.2,27,25.54126,0.08918,2.03986,14.1,20.6,,,,
2019-09-17 19:29:12 IST,23,56.4,26.9,25.54126,0.09017,2.0061,13.2,18.2,,,,
2019-09-17 19:29:29 IST,24,56.6,26.8,27.92768,0.09017,2.26944,12.9,16.6,,,,
2019-09-17 19:29:46 IST,25,56.8,26.7,27.7646,0.09116,2.25114,12.8,16.7,,,,
2019-09-17 19:30:02 IST,26,57,26.6,25.54126,0.09414,1.98937,12.7,19.1,,,,
2019-09-17 19:30:19 IST,27,57.2,26.5,27.92768,0.09215,2.26944,13,20.3,,,,
2019-09-17 19:30:35 IST,28,57.4,26.5,27.92768,0.09315,2.23295,13.8,19.8,,,,
2019-09-17 19:30:53 IST,29,57.4,26.4,25.54126,0.09514,1.97275,13.5,16.1,,,,
2019-09-17 19:31:09 IST,30,57.7,26.4,27.7646,0.09414,2.21486,13.7,20.2,,,,
2019-09-17 19:31:26 IST,31,57.8,26.3,25.38664,0.09715,1.97275,13.4,20.5,,,,
2019-09-17 19:31:43 IST,32,57.9,26.3,25.38664,0.09815,1.97275,12.9,16.8,,,,
2019-09-17 19:32:00 IST,33,57.9,26.3,27.60209,0.09715,2.21486,12.5,15.5,,,,
2019-09-17 19:32:16 IST,34,57.9,26.2,27.60209,0.09715,2.19689,12.8,17.3,,,,
2019-09-17 19:32:33 IST,35,57.8,26.1,27.60209,0.09815,2.21486,13,19.5,,,,
2019-09-17 19:32:50 IST,36,57.9,26,27.44016,0.09815,2.19689,13.2,17.8,,,,
2019-09-17 19:33:06 IST,37,57.9,26.1,27.60209,0.09916,2.17902,13.4,16.7,,,,
2019-09-17 19:33:23 IST,38,57.9,26.1,27.60209,0.09916,2.19689,13,17.2,,,,
2019-09-17 19:34:35 IST,39,61.2,25.9,31.66726,0.07654,2.325,18.1,22,,,,
2019-09-17 19:34:52 IST,40,58,26,31.31497,0.07846,2.55742,17,24.8,,,,
2019-09-17 19:35:09 IST,41,56.6,25.9,28.42045,0.08623,2.25114,16.5,22.6,,,,
2019-09-17 19:35:25 IST,42,56.2,25.9,28.09135,0.08918,2.36259,16.3,24.1,,,,
2019-09-17 19:35:41 IST,43,56.3,25.7,28.25561,0.09514,2.41983,16.2,26.1,,,,
2019-09-17 19:35:59 IST,44,56.6,25.6,28.42045,0.09715,2.23295,16.2,22.8,,,,
2019-09-17 19:36:16 IST,45,56.7,25.5,27.2788,0.1022,2.1436,16.5,20.7,,,,
2019-09-17 19:36:32 IST,46,57.1,25.4,29.25355,0.10322,2.36259,16.5,23.2,,,,
2019-09-17 19:36:49 IST,47,57.1,25.4,29.08574,0.10526,2.34374,16.3,25.2,,,,
2019-09-17 19:37:05 IST,48,57,25.3,29.08574,0.10937,2.325,16,22.9,,,,
2019-09-17 19:37:22 IST,49,56.9,25.1,28.91852,0.1104,2.30637,16.8,20.9,,,,
2019-09-17 19:37:39 IST,50,57.1,25,26.79817,0.1156,2.07403,17.2,21.6,,,,
2019-09-17 19:37:55 IST,51,57.2,25,26.6391,0.1177,2.09127,16.7,20.8,,,,
2019-09-17 19:38:11 IST,52,57.5,24.9,28.7519,0.1156,2.26944,17.1,21.9,,,,
2019-09-17 19:38:28 IST,53,57.5,24.9,28.7519,0.1177,2.05689,16.5,20.8,,,,
2019-09-17 19:38:44 IST,54,57.3,24.8,28.7519,0.11981,2.26944,15.7,19.7,,,,
2019-09-17 19:39:01 IST,55,57.5,24.8,26.6391,0.12299,2.03986,16.5,20.3,,,,
2019-09-17 19:39:17 IST,56,57.6,24.7,26.6391,0.12405,2.03986,16.6,19.9,,,,
2019-09-17 19:39:34 IST,57,57.3,24.7,28.58588,0.12299,2.21486,16.4,19.4,,,,
2019-09-17 19:39:51 IST,58,57.2,24.6,27.2788,0.12512,2.10861,17,19.1,,,,
2019-09-17 19:40:08 IST,59,57.3,24.6,26.48059,0.12942,2.02293,17,20.6,,,,
2019-09-17 19:40:25 IST,60,57.6,24.6,27.92768,0.12834,2.03986,16.6,20,,,,
2019-09-17 19:40:41 IST,61,57.1,24.4,26.95782,0.1305,2.23295,16.5,19.9,,,,
2019-09-17 19:40:57 IST,62,57,24.6,28.58588,0.1305,2.02293,16.1,18.2,,,,
2019-09-17 19:41:14 IST,63,56.7,24.5,26.16525,0.13266,2.19689,16.3,18.6,,,,
2019-09-17 19:41:31 IST,64,56.5,24.4,26.48059,0.13812,1.98937,16.4,20.3,,,,
2019-09-17 19:41:48 IST,65,56.7,24.4,26.48059,0.13922,1.98937,16.6,23.5,,,,
2019-09-17 19:42:05 IST,66,56.6,24.3,26.32264,0.14143,1.98937,16.8,21.4,,,,
2019-09-17 19:42:21 IST,67,56.5,24.3,26.32264,0.14365,1.98937,16.8,21.5,,,,
2019-09-17 19:42:38 IST,68,56.6,24.2,26.6391,0.14365,2.19689,16.9,20.9,,,,
2019-09-17 19:42:55 IST,69,56.8,24.2,28.42045,0.14588,2.19689,16.9,18.9,,,,
