created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,latitude,longitude,elevation,status
2019-09-14 18:06:37 IST,34,81.40000,29,32.92054,0.11248,4.29604,716.70,798.10,,,,
2019-09-22 01:05:56 IST,34,81.40000,29,32.92054,0.11248,4.29604,716.70,798.10,,,,
2019-09-22 01:06:44 IST,36,82.20000,29,32.55922,0.11560,4.20592,914.10,1018.10,,,,
2019-09-22 01:07:08 IST,37,82.60000,29,32.37953,0.11875,4.14672,387.00,452.60,,,,
2019-09-22 01:07:32 IST,38,82.50000,29,32.55922,0.12087,4.11738,12.20,32.60,,,,
2019-09-22 01:07:56 IST,39,82.60000,29,32.55922,0.12193,4.00174,12.50,32.80,,,,
2019-09-22 01:08:20 IST,40,82.80000,29,32.37953,0.12299,4.11738,12.00,31.70,,,,
2019-09-22 01:08:45 IST,41,82.30000,29,32.20050,0.12619,4.08821,11.80,27.40,,,,
2019-09-22 01:09:08 IST,42,82.30000,29,32.37953,0.12299,4.08821,11.80,31.60,,,,
2019-09-22 01:09:32 IST,43,82.30000,29,32.37953,0.12299,4.11738,11.80,36.30,,,,
2019-09-22 01:09:58 IST,44,82.50000,29,32.55922,0.12405,4.11738,11.60,36.10,,,,
2019-09-22 01:10:21 IST,45,82.20000,29,32.55922,0.12619,4.08821,12.00,29.30,,,,
2019-09-22 01:11:11 IST,46,81.80000,29,33.65107,0.08428,4.64048,19.50,33.00,,,,
2019-09-22 01:11:44 IST,47,81.60000,29,31.31497,0.09116,4.38777,129.60,145.60,,,,
2019-09-22 01:12:07 IST,48,82.90000,29,33.83537,0.09414,4.67292,25.40,43.20,,,,
2019-09-22 01:12:33 IST,49,82.70000,29,33.65107,0.09916,4.60824,11.90,32.70,,,,
2019-09-22 01:12:56 IST,50,82.70000,29,33.46744,0.10322,4.54431,12.00,31.10,,,,
2019-09-22 01:13:20 IST,51,83.00000,29,33.65107,0.10628,4.51263,11.10,28.00,,,,
2019-09-22 01:13:44 IST,52,83.00000,29,33.28448,0.10937,4.48114,12.00,28.20,,,,
2019-09-22 01:15:05 IST,53,81.70000,29,32.55922,0.09215,4.64048,12.10,30.90,,,,
2019-09-22 01:15:22 IST,54,83.20000,29,34.20598,0.09514,4.87164,12.90,35.00,,,,
2019-09-22 01:15:40 IST,55,83.20000,29,34.02034,0.10118,4.73838,12.90,36.80,,,,
2019-09-22 01:15:58 IST,56,83.00000,29,33.83537,0.10220,4.67292,12.60,37.90,,,,
2019-09-22 01:16:15 IST,57,83.30000,29,33.83537,0.10526,4.60824,12.70,38.00,,,,
2019-09-22 01:16:33 IST,58,83.60000,29,33.83537,0.10731,4.60824,11.90,36.20,,,,
2019-09-22 01:16:52 IST,59,83.30000,29,33.65107,0.10834,4.57618,12.40,37.20,,,,
2019-09-22 01:17:10 IST,60,83.50000,29,33.65107,0.11144,4.54431,13.00,44.70,,,,
2019-09-22 01:17:27 IST,61,83.60000,29,33.46744,0.11352,4.51263,12.80,43.80,,,,
2019-09-22 01:17:46 IST,62,83.50000,29,33.10218,0.11665,4.17623,12.90,35.50,,,,
2019-09-22 01:18:25 IST,63,83.00000,29,32.92054,0.09017,4.80462,376.10,421.70,,,,
2019-09-22 01:18:43 IST,64,84.10000,29,34.57930,0.09215,4.97369,322.30,359.30,,,,
2019-09-22 01:19:01 IST,65,84.30000,29,34.20598,0.09715,4.87164,95.30,106.50,,,,
2019-09-22 01:19:19 IST,66,84.30000,29,34.02034,0.10017,4.77140,12.50,29.60,,,,
2019-09-22 01:19:37 IST,67,84.50000,29,31.84437,0.10526,4.67292,12.40,35.30,,,,
2019-09-22 01:19:55 IST,68,84.60000,29,33.83537,0.10731,4.67292,12.50,36.70,,,,
