created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,latitude,longitude,elevation,status
2019-09-17 18:59:51 IST,1,24.60000,35.20000,inf,inf,0.00000,76.70000,29.50000,,,,
2019-09-17 19:00:09 IST,2,24.70000,33.10000,5.43756,81.42769,0.03204,75.20000,30.00000,,,,
2019-09-17 19:00:27 IST,3,24.00000,33.00000,4.26582,50.29020,0.03723,74.90000,29.90000,,,,
2019-09-17 19:00:43 IST,4,24.40000,37.90000,3.36225,38.06495,0.04073,75.40000,29.80000,,,,
2019-09-17 19:00:59 IST,5,24.80000,38.10000,4.03039,41.15185,0.04073,76.10000,29.70000,,,,
2019-09-17 19:01:17 IST,6,25.70000,36.40000,3.88879,38.46668,0.04250,77.10000,29.50000,,,,
2019-09-17 19:01:32 IST,7,25.20000,40.10000,3.09798,32.02211,0.04605,77.70000,29.40000,,,,
2019-09-17 19:04:40 IST,8,24.50000,30.90000,3.46266,58.13708,0.03986,84.70000,28.80000,,,,
2019-09-17 19:04:56 IST,9,26.30000,40.20000,3.21599,40.94065,0.04250,82.20000,28.90000,,,,
2019-09-17 19:05:15 IST,10,26.00000,39.40000,2.91626,33.28448,0.04605,82.10000,28.80000,,,,
2019-09-17 19:07:00 IST,11,25.70000,38.00000,2.93851,32.73955,0.04605,82.20000,28.90000,,,,
2019-09-17 19:07:18 IST,12,25.40000,36.30000,3.02883,47.87297,0.03986,82.90000,28.80000,,,,
2019-09-17 19:26:25 IST,13,14.20000,23.70000,2.10861,26.00842,0.08039,77.00000,28.10000,,,,
2019-09-17 19:26:42 IST,14,13.90000,20.20000,2.36259,28.25561,0.07943,58.10000,28.40000,,,,
2019-09-17 19:26:59 IST,15,14.10000,18.90000,2.36259,28.25561,0.08136,56.10000,28.30000,,,,
2019-09-17 19:27:16 IST,16,14.00000,17.20000,2.34374,28.25561,0.08233,55.70000,28.00000,,,,
2019-09-17 19:27:32 IST,17,14.20000,19.00000,2.32500,28.25561,0.08330,55.70000,27.80000,,,,
2019-09-17 19:27:49 IST,18,14.20000,18.60000,2.30637,28.09135,0.08428,55.60000,27.60000,,,,
2019-09-17 19:28:06 IST,19,13.70000,17.50000,2.00610,25.54126,0.08721,55.80000,27.50000,,,,
2019-09-17 19:28:22 IST,20,13.80000,16.80000,2.28785,27.92768,0.08623,56.40000,27.30000,,,,
2019-09-17 19:28:39 IST,21,13.90000,18.20000,2.03986,25.69643,0.08820,56.40000,27.20000,,,,
2019-09-17 19:28:55 IST,22,14.10000,20.60000,2.03986,25.54126,0.08918,56.20000,27.00000,,,,
2019-09-17 19:29:12 IST,23,13.20000,18.20000,2.00610,25.54126,0.09017,56.40000,26.90000,,,,
2019-09-17 19:29:29 IST,24,12.90000,16.60000,2.26944,27.92768,0.09017,56.60000,26.80000,,,,
2019-09-17 19:29:46 IST,25,12.80000,16.70000,2.25114,27.76460,0.09116,56.80000,26.70000,,,,
2019-09-17 19:30:02 IST,26,12.70000,19.10000,1.98937,25.54126,0.09414,57.00000,26.60000,,,,
2019-09-17 19:30:19 IST,27,13.00000,20.30000,2.26944,27.92768,0.09215,57.20000,26.50000,,,,
2019-09-17 19:30:35 IST,28,13.80000,19.80000,2.23295,27.92768,0.09315,57.40000,26.50000,,,,
2019-09-17 19:30:53 IST,29,13.50000,16.10000,1.97275,25.54126,0.09514,57.40000,26.40000,,,,
2019-09-17 19:31:09 IST,30,13.70000,20.20000,2.21486,27.76460,0.09414,57.70000,26.40000,,,,
2019-09-17 19:31:26 IST,31,13.40000,20.50000,1.97275,25.38664,0.09715,57.80000,26.30000,,,,
2019-09-17 19:31:43 IST,32,12.90000,16.80000,1.97275,25.38664,0.09815,57.90000,26.30000,,,,
2019-09-17 19:32:00 IST,33,12.50000,15.50000,2.21486,27.60209,0.09715,57.90000,26.30000,,,,
2019-09-17 19:32:16 IST,34,12.80000,17.30000,2.19689,27.60209,0.09715,57.90000,26.20000,,,,
2019-09-17 19:32:33 IST,35,13.00000,19.50000,2.21486,27.60209,0.09815,57.80000,26.10000,,,,
2019-09-17 19:32:50 IST,36,13.20000,17.80000,2.19689,27.44016,0.09815,57.90000,26.00000,,,,
2019-09-17 19:33:06 IST,37,13.40000,16.70000,2.17902,27.60209,0.09916,57.90000,26.10000,,,,
2019-09-17 19:33:23 IST,38,13.00000,17.20000,2.19689,27.60209,0.09916,57.90000,26.10000,,,,
2019-09-17 19:34:35 IST,39,18.10000,22.00000,2.32500,31.66726,0.07654,61.20000,25.90000,,,,
2019-09-17 19:34:52 IST,40,17.00000,24.80000,2.55742,31.31497,0.07846,58.00000,26.00000,,,,
2019-09-17 19:35:09 IST,41,16.50000,22.60000,2.25114,28.42045,0.08623,56.60000,25.90000,,,,
2019-09-17 19:35:25 IST,42,16.30000,24.10000,2.36259,28.09135,0.08918,56.20000,25.90000,,,,
2019-09-17 19:35:41 IST,43,16.20000,26.10000,2.41983,28.25561,0.09514,56.30000,25.70000,,,,
